index,Label,date,open,high,low,close,volume
33,AAPL,30-01-1981,0.4128,0.4128,0.4092,0.4092,11547200
34,AAPL,02-02-1981,0.3874,0.3874,0.3857,0.3857,5941600
35,AAPL,03-02-1981,0.4,0.4019,0.4,0.4,4788000
36,AAPL,04-02-1981,0.4145,0.4164,0.4145,0.4145,6966400
37,AAPL,05-02-1981,0.4145,0.4182,0.4145,0.4145,1982400
38,AAPL,06-02-1981,0.4164,0.4182,0.4164,0.4164,3466400
39,AAPL,09-02-1981,0.3983,0.3983,0.3947,0.3947,4188800
40,AAPL,10-02-1981,0.3947,0.3966,0.3947,0.3947,4586400
41,AAPL,11-02-1981,0.3838,0.3838,0.3819,0.3819,3460800
42,AAPL,12-02-1981,0.3802,0.3802,0.3785,0.3785,3640000
43,AAPL,13-02-1981,0.373,0.373,0.3693,0.3693,2788800
44,AAPL,17-02-1981,0.3785,0.3802,0.3785,0.3785,3068800
45,AAPL,18-02-1981,0.3947,0.3983,0.3947,0.3947,4810400
46,AAPL,19-02-1981,0.373,0.373,0.3712,0.3712,5577600
47,AAPL,20-02-1981,0.3531,0.3531,0.3512,0.3512,6092800
48,AAPL,23-02-1981,0.3566,0.3585,0.3566,0.3566,3528000
49,AAPL,24-02-1981,0.3476,0.3476,0.344,0.344,4244800
50,AAPL,25-02-1981,0.3657,0.3675,0.3657,0.3657,4872000
51,AAPL,26-02-1981,0.3712,0.373,0.3712,0.3712,2710400
52,AAPL,27-02-1981,0.3838,0.3874,0.3838,0.3838,3690400
53,AAPL,02-03-1981,0.3857,0.3874,0.3857,0.3857,2940000
54,AAPL,03-03-1981,0.3819,0.3819,0.3802,0.3802,4043200
55,AAPL,04-03-1981,0.3785,0.3785,0.3766,0.3766,3427200
56,AAPL,05-03-1981,0.3766,0.3766,0.3747,0.3747,1344000
57,AAPL,06-03-1981,0.3747,0.3747,0.3712,0.3712,2900800
58,AAPL,09-03-1981,0.344,0.344,0.3423,0.3423,3830400
59,AAPL,10-03-1981,0.3278,0.3278,0.3259,0.3259,7095200
60,AAPL,11-03-1981,0.3168,0.3168,0.3131,0.3131,7464800
61,AAPL,12-03-1981,0.3259,0.3278,0.3259,0.3259,14812000
62,AAPL,13-03-1981,0.324,0.324,0.3223,0.3223,57825600
63,AAPL,16-03-1981,0.335,0.3385,0.335,0.335,9307200
64,AAPL,17-03-1981,0.3512,0.3549,0.3512,0.3512,10936800
65,AAPL,18-03-1981,0.373,0.3766,0.373,0.373,9234400
66,AAPL,19-03-1981,0.3712,0.3712,0.3693,0.3693,9452800
67,AAPL,20-03-1981,0.373,0.3766,0.373,0.373,3651200
68,AAPL,23-03-1981,0.3874,0.3911,0.3874,0.3874,5504800
69,AAPL,24-03-1981,0.3874,0.3874,0.3857,0.3857,7039200
70,AAPL,25-03-1981,0.3819,0.3819,0.3785,0.3785,1764000
71,AAPL,26-03-1981,0.373,0.373,0.3712,0.3712,3068800
72,AAPL,27-03-1981,0.3604,0.3604,0.3585,0.3585,3063200
73,AAPL,30-03-1981,0.3585,0.3621,0.3585,0.3585,2475200
74,AAPL,31-03-1981,0.3585,0.3585,0.3549,0.3549,3998400
75,AAPL,01-04-1981,0.3531,0.3531,0.3512,0.3512,8517600
76,AAPL,02-04-1981,0.3819,0.3838,0.3819,0.3819,7851200
77,AAPL,03-04-1981,0.3838,0.3857,0.3838,0.3838,4121600
78,AAPL,06-04-1981,0.3785,0.3785,0.3766,0.3766,5700800
79,AAPL,07-04-1981,0.3747,0.3747,0.373,0.373,2671200
80,AAPL,08-04-1981,0.3911,0.3947,0.3911,0.3911,5488000
81,AAPL,09-04-1981,0.3983,0.4,0.3983,0.3983,3124800
82,AAPL,10-04-1981,0.4038,0.4056,0.4038,0.4038,8366400
83,AAPL,13-04-1981,0.4038,0.4056,0.4038,0.4038,4015200
84,AAPL,14-04-1981,0.4038,0.4056,0.4038,0.4038,1663200
85,AAPL,15-04-1981,0.3857,0.3857,0.3838,0.3838,8512000
86,AAPL,16-04-1981,0.3638,0.3638,0.3621,0.3621,5969600
87,AAPL,20-04-1981,0.373,0.3747,0.373,0.373,8836800
88,AAPL,21-04-1981,0.3983,0.4,0.3983,0.3983,7134400
89,AAPL,22-04-1981,0.4128,0.4145,0.4128,0.4128,4748800
90,AAPL,23-04-1981,0.4237,0.4254,0.4237,0.4237,14504000
91,AAPL,24-04-1981,0.4237,0.4237,0.42,0.42,8764000
92,AAPL,27-04-1981,0.4182,0.4182,0.4164,0.4164,9632000
93,AAPL,28-04-1981,0.4111,0.4111,0.4092,0.4092,8047200
94,AAPL,29-04-1981,0.4056,0.4056,0.4038,0.4038,3410400
95,AAPL,30-04-1981,0.4111,0.4145,0.4111,0.4111,3152800
96,AAPL,01-05-1981,0.4111,0.4145,0.4111,0.4111,4138400
97,AAPL,04-05-1981,0.4111,0.4111,0.4092,0.4092,3612000
98,AAPL,05-05-1981,0.4092,0.4092,0.4073,0.4073,4384800
99,AAPL,06-05-1981,0.3983,0.3983,0.3966,0.3966,4737600
100,AAPL,07-05-1981,0.4019,0.4038,0.4019,0.4019,2340800
101,AAPL,08-05-1981,0.4056,0.4073,0.4056,0.4056,1976800
102,AAPL,11-05-1981,0.3983,0.3983,0.3966,0.3966,2984800
103,AAPL,12-05-1981,0.3966,0.4019,0.3966,0.3966,1064000
104,AAPL,13-05-1981,0.3966,0.4,0.3947,0.3947,1226400
105,AAPL,14-05-1981,0.393,0.393,0.3892,0.3892,1232000
106,AAPL,15-05-1981,0.3983,0.4038,0.3983,0.3983,1226400
107,AAPL,18-05-1981,0.4056,0.4092,0.4056,0.4056,1041600
108,AAPL,19-05-1981,0.4,0.4,0.3983,0.3983,6356000
109,AAPL,20-05-1981,0.4111,0.4145,0.4111,0.4111,3320800
110,AAPL,21-05-1981,0.4345,0.4364,0.4345,0.4345,8052800
111,AAPL,22-05-1981,0.4545,0.458,0.4545,0.4545,7856800
112,AAPL,26-05-1981,0.4545,0.4545,0.4526,0.4526,21336000
113,AAPL,27-05-1981,0.478,0.4799,0.478,0.478,37374400
114,AAPL,28-05-1981,0.478,0.4799,0.478,0.478,18496800
115,AAPL,29-05-1981,0.4799,0.4816,0.4799,0.4799,14845600
116,AAPL,01-06-1981,0.4799,0.4816,0.4799,0.4799,12812800
117,AAPL,02-06-1981,0.458,0.458,0.4562,0.4562,10108000
118,AAPL,03-06-1981,0.4562,0.4599,0.4562,0.4562,9861600
119,AAPL,04-06-1981,0.4652,0.4671,0.4652,0.4652,14016800
120,AAPL,05-06-1981,0.4599,0.4599,0.458,0.458,14420000
121,AAPL,08-06-1981,0.4436,0.4436,0.4418,0.4418,23374400
122,AAPL,09-06-1981,0.4507,0.4526,0.4507,0.4507,29898400
123,AAPL,10-06-1981,0.4562,0.4618,0.4562,0.4562,6305600
124,AAPL,11-06-1981,0.4761,0.478,0.4761,0.4761,9744000
125,AAPL,12-06-1981,0.4726,0.4726,0.4707,0.4707,6451200
126,AAPL,15-06-1981,0.4707,0.4707,0.4688,0.4688,35940800
127,AAPL,16-06-1981,0.4618,0.4618,0.4599,0.4599,9312800
128,AAPL,17-06-1981,0.4545,0.4545,0.4526,0.4526,6893600
129,AAPL,18-06-1981,0.4526,0.4545,0.4507,0.4507,5762400
130,AAPL,19-06-1981,0.4399,0.4399,0.4381,0.4381,6876800
131,AAPL,22-06-1981,0.4237,0.4237,0.4219,0.4219,2710400
132,AAPL,23-06-1981,0.4292,0.4326,0.4292,0.4292,3757600
133,AAPL,24-06-1981,0.4219,0.4219,0.4182,0.4182,5756800
134,AAPL,25-06-1981,0.4273,0.4292,0.4273,0.4273,6064800
135,AAPL,26-06-1981,0.4254,0.4254,0.4219,0.4219,5947200
136,AAPL,29-06-1981,0.4111,0.4111,0.4073,0.4073,2648800
137,AAPL,30-06-1981,0.3785,0.3785,0.3766,0.3766,8976800
138,AAPL,01-07-1981,0.3747,0.3747,0.373,0.373,42616000
139,AAPL,02-07-1981,0.373,0.3747,0.373,0.373,7571200
140,AAPL,06-07-1981,0.3638,0.3638,0.3604,0.3604,4132800
141,AAPL,07-07-1981,0.3638,0.3675,0.3638,0.3638,3959200
142,AAPL,08-07-1981,0.3785,0.3802,0.3785,0.3785,4155200
143,AAPL,09-07-1981,0.3512,0.3512,0.3494,0.3494,8220800
144,AAPL,10-07-1981,0.324,0.324,0.3223,0.3223,13792800
145,AAPL,13-07-1981,0.3295,0.3312,0.3295,0.3295,11435200
146,AAPL,14-07-1981,0.344,0.3476,0.344,0.344,4944800
147,AAPL,15-07-1981,0.3531,0.3549,0.3531,0.3531,2738400
148,AAPL,16-07-1981,0.3621,0.3657,0.3621,0.3621,3808000
149,AAPL,17-07-1981,0.3747,0.3766,0.3747,0.3747,4956000
150,AAPL,20-07-1981,0.3512,0.3512,0.3494,0.3494,5913600
151,AAPL,21-07-1981,0.3494,0.3494,0.3476,0.3476,7985600
152,AAPL,22-07-1981,0.3312,0.3312,0.3278,0.3278,5667200
153,AAPL,23-07-1981,0.3368,0.3385,0.3368,0.3368,8612800
154,AAPL,24-07-1981,0.3476,0.3494,0.3476,0.3476,7212800
155,AAPL,27-07-1981,0.3621,0.3638,0.3621,0.3621,4334400
156,AAPL,28-07-1981,0.3512,0.3512,0.3494,0.3494,5712000
157,AAPL,29-07-1981,0.3459,0.3459,0.344,0.344,3875200
158,AAPL,30-07-1981,0.3566,0.3604,0.3566,0.3566,2475200
159,AAPL,31-07-1981,0.3621,0.3638,0.3621,0.3621,2738400
160,AAPL,03-08-1981,0.3621,0.3621,0.3585,0.3585,3108000
161,AAPL,04-08-1981,0.3638,0.3657,0.3638,0.3638,7918400
162,AAPL,05-08-1981,0.3747,0.3766,0.3747,0.3747,4373600
163,AAPL,06-08-1981,0.3675,0.3675,0.3657,0.3657,2632000
164,AAPL,07-08-1981,0.3657,0.3675,0.3657,0.3657,2301600
165,AAPL,11-08-1981,0.3585,0.3585,0.3549,0.3549,17864000
166,AAPL,12-08-1981,0.3494,0.3494,0.3476,0.3476,6568800
167,AAPL,13-08-1981,0.3385,0.3385,0.3368,0.3368,6871200
168,AAPL,14-08-1981,0.335,0.335,0.3312,0.3312,6048000
169,AAPL,17-08-1981,0.324,0.324,0.3205,0.3205,4726400
170,AAPL,18-08-1981,0.3168,0.3168,0.3131,0.3131,4250400
171,AAPL,19-08-1981,0.3131,0.3131,0.3097,0.3097,5168800
172,AAPL,20-08-1981,0.3131,0.315,0.3131,0.3131,4278400
173,AAPL,21-08-1981,0.2952,0.2952,0.2916,0.2916,10477600
174,AAPL,24-08-1981,0.2752,0.2752,0.2733,0.2733,5768000
175,AAPL,25-08-1981,0.2806,0.2824,0.2806,0.2806,10175200
176,AAPL,26-08-1981,0.2771,0.2771,0.2752,0.2752,8400000
177,AAPL,27-08-1981,0.2771,0.2788,0.2771,0.2771,6479200
178,AAPL,28-08-1981,0.2916,0.2933,0.2916,0.2916,9508800
179,AAPL,31-08-1981,0.2916,0.2933,0.2916,0.2916,10236800
180,AAPL,01-09-1981,0.3097,0.3114,0.3097,0.3097,9256800
181,AAPL,02-09-1981,0.315,0.3168,0.315,0.315,4844000
182,AAPL,03-09-1981,0.3024,0.3024,0.2987,0.2987,9368800
183,AAPL,04-09-1981,0.2969,0.2969,0.2952,0.2952,3813600
184,AAPL,08-09-1981,0.2878,0.2878,0.2861,0.2861,6361600
185,AAPL,09-09-1981,0.2861,0.2878,0.2861,0.2861,7632800
186,AAPL,10-09-1981,0.2878,0.2897,0.2878,0.2878,8702400
187,AAPL,11-09-1981,0.2861,0.2861,0.2843,0.2843,4384800
188,AAPL,14-09-1981,0.2771,0.2771,0.2752,0.2752,6921600
189,AAPL,15-09-1981,0.2698,0.2698,0.268,0.268,4877600
190,AAPL,16-09-1981,0.2643,0.2643,0.2625,0.2625,4838400
191,AAPL,17-09-1981,0.2571,0.2571,0.2552,0.2552,4844000
192,AAPL,18-09-1981,0.2571,0.259,0.2571,0.2571,6580000
193,AAPL,21-09-1981,0.259,0.2607,0.259,0.259,12258400
194,AAPL,22-09-1981,0.2462,0.2462,0.2445,0.2445,11855200
195,AAPL,23-09-1981,0.2426,0.2426,0.239,0.239,7050400
196,AAPL,24-09-1981,0.239,0.239,0.2371,0.2371,4575200
197,AAPL,25-09-1981,0.21,0.21,0.2064,0.2064,8652000
198,AAPL,28-09-1981,0.2083,0.21,0.2083,0.2083,22932000
199,AAPL,29-09-1981,0.2191,0.2209,0.2191,0.2191,23671200
200,AAPL,30-09-1981,0.2209,0.2226,0.2209,0.2209,12499200
201,AAPL,01-10-1981,0.2209,0.2226,0.2209,0.2209,15282400
202,AAPL,02-10-1981,0.239,0.2409,0.239,0.239,11261600
203,AAPL,05-10-1981,0.2462,0.2498,0.2462,0.2462,10774400
204,AAPL,06-10-1981,0.2462,0.2462,0.2445,0.2445,7089600
205,AAPL,07-10-1981,0.259,0.2625,0.259,0.259,9710400
206,AAPL,08-10-1981,0.268,0.2698,0.268,0.268,7772800
207,AAPL,09-10-1981,0.2698,0.2733,0.2698,0.2698,13630400
208,AAPL,12-10-1981,0.2788,0.2806,0.2788,0.2788,6837600
209,AAPL,13-10-1981,0.2788,0.2824,0.2788,0.2788,11048800
210,AAPL,14-10-1981,0.2643,0.2643,0.2625,0.2625,7744800
211,AAPL,15-10-1981,0.268,0.2698,0.268,0.268,7358400
212,AAPL,16-10-1981,0.2661,0.2661,0.2643,0.2643,9116800
213,AAPL,19-10-1981,0.2698,0.2716,0.2698,0.2698,5146400
214,AAPL,20-10-1981,0.2843,0.2861,0.2843,0.2843,8932000
215,AAPL,21-10-1981,0.2843,0.2861,0.2843,0.2843,19224800
216,AAPL,22-10-1981,0.2843,0.2843,0.2824,0.2824,8069600
217,AAPL,23-10-1981,0.2771,0.2771,0.2752,0.2752,6977600
218,AAPL,26-10-1981,0.2752,0.2771,0.2752,0.2752,6820800
219,AAPL,27-10-1981,0.2806,0.2843,0.2806,0.2806,21397600
220,AAPL,28-10-1981,0.2897,0.2916,0.2897,0.2897,11043200
221,AAPL,29-10-1981,0.2878,0.2878,0.2861,0.2861,7621600
222,AAPL,30-10-1981,0.2897,0.2916,0.2897,0.2897,13182400
223,AAPL,02-11-1981,0.2897,0.2916,0.2897,0.2897,9228800
224,AAPL,03-11-1981,0.2878,0.2878,0.2861,0.2861,7095200
225,AAPL,04-11-1981,0.2806,0.2806,0.2788,0.2788,5952800
226,AAPL,05-11-1981,0.2607,0.2607,0.259,0.259,5840800
227,AAPL,06-11-1981,0.2607,0.2625,0.2607,0.2607,6148800
228,AAPL,09-11-1981,0.2643,0.2661,0.2643,0.2643,5096000
229,AAPL,10-11-1981,0.2661,0.268,0.2661,0.2661,4188800
230,AAPL,11-11-1981,0.2733,0.2752,0.2733,0.2733,6860000
231,AAPL,12-11-1981,0.2824,0.2843,0.2824,0.2824,9979200
232,AAPL,13-11-1981,0.2643,0.2643,0.2625,0.2625,5252800
233,AAPL,16-11-1981,0.2607,0.2607,0.259,0.259,5639200
234,AAPL,17-11-1981,0.2643,0.2661,0.2643,0.2643,8853600
235,AAPL,18-11-1981,0.2733,0.2752,0.2733,0.2733,7285600
236,AAPL,19-11-1981,0.2733,0.2752,0.2733,0.2733,10001600
237,AAPL,20-11-1981,0.2752,0.2771,0.2752,0.2752,9525600
238,AAPL,23-11-1981,0.2661,0.2661,0.2625,0.2625,5740000
239,AAPL,24-11-1981,0.2625,0.2625,0.2607,0.2607,5538400
240,AAPL,25-11-1981,0.2661,0.268,0.2661,0.2661,13137600
241,AAPL,27-11-1981,0.2733,0.2752,0.2733,0.2733,9312800
242,AAPL,30-11-1981,0.2716,0.2716,0.2698,0.2698,5992000
243,AAPL,01-12-1981,0.2698,0.2716,0.2698,0.2698,5846400
244,AAPL,02-12-1981,0.2716,0.2733,0.2716,0.2716,9391200
245,AAPL,03-12-1981,0.2698,0.2698,0.268,0.268,5107200
246,AAPL,04-12-1981,0.2752,0.2771,0.2752,0.2752,34288800
247,AAPL,07-12-1981,0.2771,0.2788,0.2771,0.2771,14823200
248,AAPL,08-12-1981,0.2752,0.2752,0.2716,0.2716,12656000
249,AAPL,09-12-1981,0.2733,0.2752,0.2733,0.2733,8568000
250,AAPL,10-12-1981,0.2733,0.2752,0.2733,0.2733,9352000
251,AAPL,11-12-1981,0.2733,0.2752,0.2716,0.2716,19023200
252,AAPL,14-12-1981,0.2661,0.2661,0.2625,0.2625,6311200
253,AAPL,15-12-1981,0.2698,0.2716,0.2698,0.2698,7828800
254,AAPL,16-12-1981,0.2824,0.2843,0.2824,0.2824,16363200
255,AAPL,17-12-1981,0.3059,0.3078,0.3059,0.3059,12863200
256,AAPL,18-12-1981,0.3312,0.3331,0.3312,0.3312,17931200
257,AAPL,21-12-1981,0.3186,0.3186,0.3168,0.3168,14100800
258,AAPL,22-12-1981,0.3223,0.324,0.3223,0.3223,13456800
259,AAPL,23-12-1981,0.3168,0.3168,0.315,0.315,7224000
260,AAPL,24-12-1981,0.3168,0.3186,0.3168,0.3168,7229600
261,AAPL,28-12-1981,0.3059,0.3059,0.3024,0.3024,9144800
262,AAPL,29-12-1981,0.3078,0.3114,0.3078,0.3078,6059200
263,AAPL,30-12-1981,0.3205,0.3223,0.3205,0.3205,8047200
264,AAPL,31-12-1981,0.3205,0.3223,0.3205,0.3205,13664000
265,AAPL,04-01-1982,0.3205,0.3205,0.3186,0.3186,17813600
266,AAPL,05-01-1982,0.3059,0.3059,0.3024,0.3024,8960000
267,AAPL,06-01-1982,0.3005,0.3005,0.2987,0.2987,16520000
268,AAPL,07-01-1982,0.2788,0.2788,0.2752,0.2752,17511200
269,AAPL,08-01-1982,0.2878,0.2897,0.2878,0.2878,14151200
270,AAPL,11-01-1982,0.2716,0.2716,0.2698,0.2698,8332800
271,AAPL,12-01-1982,0.2625,0.2625,0.2607,0.2607,14980000
272,AAPL,13-01-1982,0.2607,0.2607,0.259,0.259,10438400
273,AAPL,14-01-1982,0.2716,0.2733,0.2716,0.2716,6428800
274,AAPL,15-01-1982,0.2897,0.2933,0.2897,0.2897,11676000
275,AAPL,18-01-1982,0.2952,0.2987,0.2952,0.2952,7000000
276,AAPL,19-01-1982,0.2916,0.2916,0.2878,0.2878,13876800
277,AAPL,20-01-1982,0.2933,0.2952,0.2933,0.2933,6456800
278,AAPL,21-01-1982,0.2987,0.3005,0.2987,0.2987,8332800
279,AAPL,22-01-1982,0.3005,0.3024,0.3005,0.3005,6064800
280,AAPL,25-01-1982,0.2933,0.2933,0.2916,0.2916,11177600
281,AAPL,26-01-1982,0.2843,0.2843,0.2806,0.2806,5303200
282,AAPL,27-01-1982,0.2824,0.2861,0.2824,0.2824,7840000
283,AAPL,28-01-1982,0.2916,0.2933,0.2916,0.2916,9900800
284,AAPL,29-01-1982,0.2952,0.2969,0.2952,0.2952,13288800
285,AAPL,01-02-1982,0.2952,0.2952,0.2916,0.2916,9632000
286,AAPL,02-02-1982,0.2933,0.2969,0.2933,0.2933,13568800
287,AAPL,03-02-1982,0.2933,0.2952,0.2933,0.2933,7868000
288,AAPL,04-02-1982,0.2878,0.2878,0.2861,0.2861,5510400
289,AAPL,05-02-1982,0.2861,0.2878,0.2861,0.2861,10074400
290,AAPL,08-02-1982,0.2698,0.2698,0.268,0.268,7924000
291,AAPL,09-02-1982,0.268,0.2698,0.268,0.268,14476000
292,AAPL,10-02-1982,0.2716,0.2733,0.2716,0.2716,9699200
293,AAPL,11-02-1982,0.2698,0.2698,0.268,0.268,6132000
294,AAPL,12-02-1982,0.2716,0.2733,0.2716,0.2716,4911200
295,AAPL,16-02-1982,0.268,0.268,0.2661,0.2661,8579200
296,AAPL,17-02-1982,0.2698,0.2716,0.2698,0.2698,6395200
297,AAPL,18-02-1982,0.2733,0.2752,0.2733,0.2733,7095200
298,AAPL,19-02-1982,0.2733,0.2733,0.2716,0.2716,3399200
299,AAPL,22-02-1982,0.2698,0.2698,0.268,0.268,6658400
300,AAPL,23-02-1982,0.2661,0.2661,0.2643,0.2643,8635200
301,AAPL,24-02-1982,0.2661,0.268,0.2661,0.2661,9486400
302,AAPL,25-02-1982,0.2661,0.2661,0.2643,0.2643,7700000
303,AAPL,26-02-1982,0.2643,0.2661,0.2643,0.2643,4356800
304,AAPL,01-03-1982,0.2661,0.268,0.2661,0.2661,8825600
305,AAPL,02-03-1982,0.2661,0.268,0.2661,0.2661,8702400
306,AAPL,03-03-1982,0.2661,0.268,0.2661,0.2661,5913600
307,AAPL,04-03-1982,0.2625,0.2625,0.2607,0.2607,9592800
308,AAPL,05-03-1982,0.2426,0.2426,0.2409,0.2409,11328800
309,AAPL,08-03-1982,0.239,0.239,0.2371,0.2371,8786400
310,AAPL,09-03-1982,0.239,0.2409,0.239,0.239,13126400
311,AAPL,10-03-1982,0.2371,0.2371,0.2354,0.2354,21733600
312,AAPL,11-03-1982,0.2354,0.239,0.2354,0.2354,5644800
313,AAPL,12-03-1982,0.2226,0.2226,0.2209,0.2209,11636800
314,AAPL,15-03-1982,0.2209,0.2209,0.2191,0.2191,12840800
315,AAPL,16-03-1982,0.2173,0.2173,0.2154,0.2154,11788000
316,AAPL,17-03-1982,0.2064,0.2064,0.2045,0.2045,12622400
317,AAPL,18-03-1982,0.2209,0.2226,0.2209,0.2209,14084000
318,AAPL,19-03-1982,0.2409,0.2426,0.2409,0.2409,16452800
319,AAPL,22-03-1982,0.259,0.2607,0.259,0.259,17298400
320,AAPL,23-03-1982,0.2571,0.2571,0.2552,0.2552,13988800
321,AAPL,24-03-1982,0.2426,0.2426,0.2409,0.2409,12902400
322,AAPL,25-03-1982,0.2409,0.2409,0.239,0.239,21028000
323,AAPL,26-03-1982,0.2371,0.2371,0.2354,0.2354,12695200
324,AAPL,29-03-1982,0.2409,0.2426,0.2409,0.2409,16900800
325,AAPL,30-03-1982,0.2445,0.2462,0.2445,0.2445,19488000
326,AAPL,31-03-1982,0.2445,0.2462,0.2445,0.2445,12538400
327,AAPL,01-04-1982,0.2571,0.259,0.2571,0.2571,14784000
328,AAPL,02-04-1982,0.2571,0.259,0.2571,0.2571,21201600
329,AAPL,05-04-1982,0.2571,0.259,0.2571,0.2571,21660800
330,AAPL,06-04-1982,0.2571,0.2571,0.2552,0.2552,17897600
331,AAPL,07-04-1982,0.2535,0.2535,0.2517,0.2517,7274400
332,AAPL,08-04-1982,0.2535,0.2552,0.2535,0.2535,5997600
333,AAPL,12-04-1982,0.2535,0.2552,0.2517,0.2517,11076800
334,AAPL,13-04-1982,0.2336,0.2336,0.2317,0.2317,21324800
335,AAPL,14-04-1982,0.2336,0.2354,0.2336,0.2336,28397600
336,AAPL,15-04-1982,0.2371,0.239,0.2371,0.2371,41070400
337,AAPL,16-04-1982,0.2445,0.2462,0.2445,0.2445,26012000
338,AAPL,19-04-1982,0.2426,0.2426,0.239,0.239,10320800
339,AAPL,20-04-1982,0.2299,0.2299,0.2281,0.2281,20137600
340,AAPL,21-04-1982,0.2281,0.2281,0.2264,0.2264,18256000
341,AAPL,22-04-1982,0.2245,0.2245,0.2226,0.2226,13148800
342,AAPL,23-04-1982,0.2226,0.2245,0.2226,0.2226,12073600
343,AAPL,26-04-1982,0.2281,0.2299,0.2281,0.2281,14481600
344,AAPL,27-04-1982,0.2226,0.2226,0.2209,0.2209,17567200
345,AAPL,28-04-1982,0.2136,0.2136,0.2118,0.2118,24808000
346,AAPL,29-04-1982,0.2118,0.2136,0.2118,0.2118,20557600
347,AAPL,30-04-1982,0.2136,0.2154,0.2136,0.2136,69350400
348,AAPL,03-05-1982,0.2209,0.2226,0.2209,0.2209,20675200
349,AAPL,04-05-1982,0.2281,0.2299,0.2281,0.2281,18496800
350,AAPL,05-05-1982,0.2281,0.2281,0.2245,0.2245,13484800
351,AAPL,06-05-1982,0.2317,0.2336,0.2317,0.2317,18866400
352,AAPL,07-05-1982,0.2354,0.2371,0.2354,0.2354,21179200
353,AAPL,10-05-1982,0.2336,0.2336,0.2317,0.2317,7901600
354,AAPL,11-05-1982,0.2264,0.2264,0.2245,0.2245,25754400
355,AAPL,12-05-1982,0.2209,0.2209,0.2191,0.2191,17752000
356,AAPL,13-05-1982,0.2209,0.2226,0.2209,0.2209,13613600
357,AAPL,14-05-1982,0.2154,0.2154,0.2118,0.2118,23934400
358,AAPL,17-05-1982,0.21,0.21,0.2083,0.2083,19051200
359,AAPL,18-05-1982,0.2064,0.2064,0.2045,0.2045,30508800
360,AAPL,19-05-1982,0.2045,0.2045,0.2028,0.2028,18821600
361,AAPL,20-05-1982,0.2045,0.2064,0.2045,0.2045,6904800
362,AAPL,21-05-1982,0.2064,0.2083,0.2064,0.2064,9710400
363,AAPL,24-05-1982,0.2083,0.21,0.2083,0.2083,7996800
364,AAPL,25-05-1982,0.2083,0.21,0.2083,0.2083,12891200
365,AAPL,26-05-1982,0.2083,0.2083,0.2064,0.2064,10819200
366,AAPL,27-05-1982,0.2045,0.2045,0.2028,0.2028,7812000
367,AAPL,28-05-1982,0.2028,0.2045,0.2028,0.2028,4799200
368,AAPL,01-06-1982,0.201,0.201,0.1992,0.1992,11900000
